Source,Target,Weight,Type,color
N01,S01,2,Directed,#ff4444
N02,S01,2,Directed,#ff4444
N03,S01,2,Directed,#ff4444
N04,S01,2,Directed,#ff4444
N05,S01,2,Directed,#ff4444
N06,S01,2,Directed,#ff4444
N07,S01,2,Directed,#ff4444
N08,S01,2,Directed,#ff4444
N11,S01,1,Directed,#ff4444
N13,S01,2,Directed,#ff4444
N14,S01,2,Directed,#ff4444
N15,S01,2,Directed,#ff4444
N16,S01,1,Directed,#ff4444
N17,S01,2,Directed,#ff4444
S01,N09,1,Directed,#6dc066
S01,N10,1,Undirected,#fef65b
S01,N12,1,Undirected,#fef65b
S02,N01,2,Directed,#6dc066
S02,N02,2,Directed,#6dc066
S02,N03,2,Directed,#6dc066
S02,N04,1,Directed,#6dc066
S02,N05,2,Directed,#6dc066
S02,N06,2,Directed,#6dc066
S02,N07,1,Directed,#6dc066
S02,N08,2,Directed,#6dc066
S02,N09,2,Directed,#6dc066
S02,N10,2,Directed,#6dc066
S02,N11,1,Directed,#6dc066
S02,N12,2,Directed,#6dc066
S02,N13,2,Directed,#6dc066
S02,N14,2,Directed,#6dc066
S02,N15,2,Directed,#6dc066
S02,N16,1,Directed,#6dc066
S02,N17,2,Directed,#6dc066
S03,N01,1,Directed,#6dc066
S03,N02,1,Directed,#6dc066
S03,N03,1,Directed,#6dc066
S03,N04,1,Directed,#6dc066
S03,N05,1,Directed,#6dc066
S03,N06,1,Directed,#6dc066
S03,N07,1,Directed,#6dc066
S03,N08,1,Directed,#6dc066
S03,N09,2,Directed,#6dc066
S03,N10,2,Directed,#6dc066
S03,N12,2,Directed,#6dc066
S03,N13,1,Directed,#6dc066
S03,N14,1,Directed,#6dc066
S03,N15,1,Directed,#6dc066
S03,N17,2,Directed,#6dc066
S04,N01,1,Directed,#6dc066
S04,N02,1,Directed,#6dc066
S04,N03,1,Directed,#6dc066
S04,N04,1,Directed,#6dc066
S04,N05,1,Directed,#6dc066
S04,N06,1,Directed,#6dc066
S04,N07,1,Directed,#6dc066
S04,N08,1,Directed,#6dc066
S04,N09,1,Directed,#6dc066
S04,N10,1,Directed,#6dc066
S04,N11,1,Directed,#6dc066
S04,N12,1,Directed,#6dc066
S04,N13,1,Directed,#6dc066
S04,N14,1,Directed,#6dc066
S04,N15,1,Directed,#6dc066
S04,N16,1,Directed,#6dc066
S04,N17,1,Directed,#6dc066
S05,N01,1,Directed,#6dc066
S05,N02,1,Directed,#6dc066
S05,N03,1,Directed,#6dc066
S05,N04,1,Directed,#6dc066
S05,N05,1,Directed,#6dc066
S05,N06,1,Directed,#6dc066
S05,N07,1,Directed,#6dc066
S05,N08,1,Directed,#6dc066
S05,N09,2,Directed,#6dc066
S05,N10,2,Directed,#6dc066
S05,N11,1,Directed,#6dc066
S05,N12,2,Directed,#6dc066
S05,N13,1,Directed,#6dc066
S05,N14,1,Directed,#6dc066
S05,N15,1,Directed,#6dc066
S05,N16,1,Directed,#6dc066
S05,N17,2,Directed,#6dc066
S06,N01,1,Directed,#6dc066
S06,N02,1,Directed,#6dc066
S06,N03,1,Directed,#6dc066
S06,N04,1,Directed,#6dc066
S06,N05,1,Directed,#6dc066
S06,N06,1,Directed,#6dc066
S06,N07,2,Directed,#6dc066
S06,N08,1,Directed,#6dc066
S06,N09,2,Directed,#6dc066
S06,N10,2,Directed,#6dc066
S06,N12,2,Directed,#6dc066
S06,N13,2,Directed,#6dc066
S06,N14,2,Directed,#6dc066
S06,N17,2,Directed,#6dc066
S07,N01,1,Directed,#6dc066
S07,N02,1,Directed,#6dc066
S07,N03,1,Directed,#6dc066
S07,N04,1,Directed,#6dc066
S07,N05,1,Directed,#6dc066
S07,N06,1,Directed,#6dc066
S07,N07,1,Directed,#6dc066
S07,N08,1,Directed,#6dc066
S07,N09,2,Directed,#6dc066
S07,N10,1,Directed,#6dc066
S07,N11,1,Directed,#6dc066
S07,N12,1,Directed,#6dc066
S07,N13,1,Directed,#6dc066
S07,N14,1,Directed,#6dc066
S07,N15,1,Directed,#6dc066
S07,N16,1,Directed,#6dc066
S07,N17,1,Directed,#6dc066
S08,N01,1,Directed,#6dc066
S08,N02,1,Directed,#6dc066
S08,N03,1,Directed,#6dc066
S08,N04,1,Directed,#6dc066
S08,N05,1,Directed,#6dc066
S08,N06,1,Directed,#6dc066
S08,N07,1,Directed,#6dc066
S08,N08,1,Directed,#6dc066
S08,N09,2,Directed,#6dc066
S08,N10,2,Directed,#6dc066
S08,N12,2,Directed,#6dc066
S08,N13,1,Directed,#6dc066
S08,N14,1,Directed,#6dc066
S08,N15,1,Directed,#6dc066
S08,N17,2,Directed,#6dc066
S09,N01,1,Directed,#6dc066
S09,N02,1,Directed,#6dc066
S09,N03,1,Directed,#6dc066
S09,N04,1,Directed,#6dc066
S09,N05,1,Directed,#6dc066
S09,N06,1,Directed,#6dc066
S09,N07,1,Directed,#6dc066
S09,N08,1,Directed,#6dc066
S09,N09,2,Directed,#6dc066
