Source,Target,Weight,Type,color
D01,S11,1,Directed,#ff4444
D01,S12,1,Directed,#ff4444
D01,S14,1,Directed,#ff4444
D01,S15,1,Directed,#ff4444
D02,S11,1,Directed,#ff4444
D02,S12,1,Directed,#ff4444
D02,S14,1,Directed,#ff4444
D02,S15,1,Directed,#ff4444
D03,S03,1,Directed,#ff4444
D03,S06,1,Directed,#ff4444
D03,S12,1,Directed,#ff4444
D03,S13,1,Directed,#ff4444
D03,S15,1,Directed,#ff4444
D04,S11,1,Directed,#ff4444
D04,S12,1,Directed,#ff4444
D04,S15,1,Directed,#ff4444
D05,S11,1,Directed,#ff4444
D07,S04,1,Directed,#ff4444
D07,S10,1,Directed,#ff4444
D07,S11,1,Directed,#ff4444
D11,S07,1,Directed,#ff4444
D11,S10,1,Directed,#ff4444
D11,S11,1,Directed,#ff4444
D11,S14,1,Directed,#ff4444
D11,S15,1,Directed,#ff4444
D12,S11,1,Directed,#ff4444
S01,D04,1,Directed,#6dc066
S01,D07,1,Directed,#6dc066
S01,D08,1,Directed,#6dc066
S01,D09,1,Directed,#6dc066
S02,D01,1,Directed,#6dc066
S02,D02,1,Directed,#6dc066
S02,D08,1,Directed,#6dc066
S03,D09,1,Directed,#6dc066
S03,D10,1,Directed,#6dc066
S04,D09,1,Directed,#6dc066
S05,D08,1,Directed,#6dc066
S05,D09,1,Directed,#6dc066
S06,D06,1,Directed,#6dc066
S06,D07,1,Directed,#6dc066
S06,D08,1,Directed,#6dc066
S06,D10,1,Directed,#6dc066
S07,D08,1,Directed,#6dc066
S07,D13,1,Directed,#6dc066
S08,D08,1,Directed,#6dc066
S10,D09,1,Directed,#6dc066
S10,D10,1,Directed,#6dc066
S11,D06,1,Directed,#6dc066
S11,D08,1,Directed,#6dc066
S11,D09,1,Directed,#6dc066
S11,D10,1,Directed,#6dc066
S11,D13,1,Directed,#6dc066
S12,D06,1,Directed,#6dc066
S12,D08,1,Directed,#6dc066
S12,D09,1,Directed,#6dc066
S12,D10,1,Directed,#6dc066
S13,D09,1,Directed,#6dc066
S14,D08,1,Directed,#6dc066
S14,D10,1,Directed,#6dc066
S15,D08,1,Directed,#6dc066
S15,D09,1,Directed,#6dc066
S15,D12,1,Directed,#6dc066
S16,D08,1,Directed,#6dc066
S16,D09,1,Directed,#6dc066
S16,D10,1,Directed,#6dc066
S17,D08,1,Directed,#6dc066
D01,S13,2,Directed,#ff4444
D02,S13,2,Directed,#ff4444
D03,S07,2,Directed,#ff4444
D03,S11,2,Directed,#ff4444
D04,S13,2,Directed,#ff4444
D05,S14,2,Directed,#ff4444
D05,S15,2,Directed,#ff4444
D07,S05,2,Directed,#ff4444
D11,S02,2,Directed,#ff4444
D11,S03,2,Directed,#ff4444
D11,S05,2,Directed,#ff4444
D11,S06,2,Directed,#ff4444
D11,S12,2,Directed,#ff4444
D12,S10,2,Directed,#ff4444
D12,S16,2,Directed,#ff4444
S02,D03,2,Directed,#6dc066
S02,D04,2,Directed,#6dc066
S02,D06,2,Directed,#6dc066
S03,D07,2,Directed,#6dc066
S09,D06,2,Directed,#6dc066
S09,D08,2,Directed,#6dc066
S17,D09,2,Directed,#6dc066
S01,D01,1,Undirected,#fef65b
S01,D02,1,Undirected,#fef65b
S01,D03,1,Undirected,#fef65b
S01,D05,1,Undirected,#fef65b
S01,D06,1,Undirected,#fef65b
S01,D10,1,Undirected,#fef65b
S01,D12,1,Undirected,#fef65b
S01,D13,1,Undirected,#fef65b
S02,D05,1,Undirected,#fef65b
S02,D07,1,Undirected,#fef65b
S02,D09,1,Undirected,#fef65b
S02,D12,1,Undirected,#fef65b
S02,D13,1,Undirected,#fef65b
S03,D01,1,Undirected,#fef65b
S03,D02,1,Undirected,#fef65b
S03,D04,1,Undirected,#fef65b
S03,D06,1,Undirected,#fef65b
S03,D08,1,Undirected,#fef65b
S03,D12,1,Undirected,#fef65b
S03,D13,1,Undirected,#fef65b
S04,D04,1,Undirected,#fef65b
S04,D08,1,Undirected,#fef65b
S04,D10,1,Undirected,#fef65b
S04,D11,1,Undirected,#fef65b
S04,D13,1,Undirected,#fef65b
S05,D03,1,Undirected,#fef65b
S05,D04,1,Undirected,#fef65b
S05,D05,1,Undirected,#fef65b
S05,D06,1,Undirected,#fef65b
S05,D12,1,Undirected,#fef65b
S05,D13,1,Undirected,#fef65b
S06,D13,1,Undirected,#fef65b
S07,D01,1,Undirected,#fef65b
S07,D02,1,Undirected,#fef65b
S07,D04,1,Undirected,#fef65b
S07,D06,1,Undirected,#fef65b
S07,D10,1,Undirected,#fef65b
S07,D12,1,Undirected,#fef65b
S08,D01,1,Undirected,#fef65b
S08,D02,1,Undirected,#fef65b
