Id,Category,Label,Description,color,Image
S01,Sustainable Development Goals,No Poverty,End poverty in all its forms everywhere,#e5243b,https://www.dropbox.com/s/7ijgpyjcap3tqzg/1.png?raw=1
S02,Sustainable Development Goals,Zero Hunger,"End hunger, achieve food security and improved nutrition, and promote sustainable agriculture",#DDA63A,https://www.dropbox.com/s/hlrvwje9ig96d39/2.png?raw=1
S03,Sustainable Development Goals,Good Health and Well-Being,Ensure healthy lives and promote wellbeing for all at all ages,#4C9F38,https://www.dropbox.com/s/q9qvnfksfylsfjt/3.png?raw=1
S04,Sustainable Development Goals,Quality Education,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,#C5192D,https://www.dropbox.com/s/w6ipk5g6hb7po1c/4.png?raw=1
S05,Sustainable Development Goals,Gender Equality,Achieve gender equality and empower all women and girls,#FF3A21,https://www.dropbox.com/s/r98llwg5fe6i67w/5.png?raw=1
S06,Sustainable Development Goals,Clean Water and Sanitation,Ensure availability and sustainable management of water and sanitation for all,#26BDE2,https://www.dropbox.com/s/70d1k97tbhwb37f/6.png?raw=1
S07,Sustainable Development Goals,Affordable and Clean Energy,"Ensure access to affordable, reliable, sustainable and modern energy for all",#FCC30B,https://www.dropbox.com/s/sghkyscgrct0eh8/7.png?raw=1
S08,Sustainable Development Goals,Decent Work and Economic Growth,"Promote sustained, inclusive and sustainable economic growth, full and productive employment, and decent work for all",#A21942,https://www.dropbox.com/s/p9ja1dl4ebzp03r/8.png?raw=1
S09,Sustainable Development Goals,"Industry, Innovation, and Infrastructure","Build resilient infrastructure, promote inclusive and sustainable industrialisation, and foster innovation",#FD6925,https://www.dropbox.com/s/ounp108ub5e7e3c/9.png?raw=1
S10,Sustainable Development Goals,Reduced Inequalities,Reduce inequality within and among countries,#DD1367,https://www.dropbox.com/s/ounp108ub5e7e3c/9.png?raw=1
S11,Sustainable Development Goals,Sustainable Cities and Communities,"Make cities and human settlements inclusive, safe, resilient and sustainable",#FD9D24,https://www.dropbox.com/s/qgchletnsz77yj7/11.png?raw=1
S12,Sustainable Development Goals,Responsible Consumption and Production,Ensure sustainable consumption and production patterns,#BF8B2E,https://www.dropbox.com/s/622cx6ss3y6n872/12.png?raw=1
S13,Sustainable Development Goals,Climate Action,Take urgent action to combat climate change and its impacts (taking note of agreements made by the UNFCCC forum),#3F7E44,https://www.dropbox.com/s/jjr6pliq9kq9ix8/13.png?raw=1
S14,Sustainable Development Goals,Life Below Water,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",#0A97D9,https://www.dropbox.com/s/am2qx20fzkvgk6w/14.png?raw=1
S15,Sustainable Development Goals,Life on Land,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification and halt and reverse land degradation, and halt biodiversity loss",#56C02B,https://www.dropbox.com/s/qgakfm23lbkh7da/15.png?raw=1
S16,Sustainable Development Goals,"Peace, Justice and Strong Institutions","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",#00689D,https://www.dropbox.com/s/w57kvorind7g15b/16.png?raw=1
S17,Sustainable Development Goals,Partnerships for the Goals,Strengthen the means of implementation and revitalise the global partnership for sustainable development,#19486A,https://www.dropbox.com/s/w3875a1jay0xttj/17.png?raw=1
N01,Nature,Tropical and Subtropical Dry and Humid Forests,"*Main description: Includes humid and dry broadleaf forests centered between the tropics and at subtropical latitudes, and tropical and subtropical coniferous forests. Humid forests are characterized by low variability in annual temperature and high levels of rainfall (>2000 mm annually); forest composition is dominated by evergreen and semi-evergreen tree species. Dry forests occur in climates that are mostly warm year-round, with annual rainfall ranging from 200 to 1500 mm. There is a well-defined dry season which can last several months and vary with geographic location. Semi-deciduous and deciduous trees predominate in these forests. Tropical and subtropical coniferous forests are found predominantly in North and Central America. They experience low levels of precipitation and moderate variability in temperature. They are characterized by diverse species of conifers, whose needles are adapted to deal with the variable climatic conditions.",#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
N02,Nature,Temperate and Boreal Forests and Woodlands,...pending,#000000,https://www.dropbox.com/s/on9920e9edhjdtv/Nature.png?raw=1
