Source,Target,Weight,Type,color
S01,C08,1,Directed,#6dc066
S01,C10,1,Directed,#6dc066
S01,C11,1,Directed,#6dc066
S01,C12,1,Directed,#6dc066
S01,C13,1,Directed,#6dc066
S01,C14,1,Directed,#6dc066
S01,C16,1,Directed,#6dc066
S02,C08,1,Directed,#6dc066
S02,C10,1,Directed,#6dc066
S02,C11,1,Directed,#6dc066
S02,C13,1,Directed,#6dc066
S02,C14,1,Directed,#6dc066
S02,C16,1,Directed,#6dc066
S03,C01,1,Directed,#6dc066
S03,C02,1,Directed,#6dc066
S03,C14,1,Directed,#6dc066
S03,C16,1,Directed,#6dc066
S03,C18,1,Directed,#6dc066
S04,C01,1,Directed,#6dc066
S04,C02,1,Directed,#6dc066
S04,C03,1,Directed,#6dc066
S04,C04,1,Directed,#6dc066
S04,C05,1,Directed,#6dc066
S04,C06,1,Directed,#6dc066
S04,C07,1,Directed,#6dc066
S04,C08,1,Directed,#6dc066
S04,C09,1,Directed,#6dc066
S04,C10,1,Directed,#6dc066
S04,C11,1,Directed,#6dc066
S04,C12,1,Directed,#6dc066
S04,C13,1,Directed,#6dc066
S04,C14,1,Directed,#6dc066
S04,C16,1,Directed,#6dc066
S04,C17,1,Directed,#6dc066
S04,C18,1,Directed,#6dc066
S05,C01,1,Directed,#6dc066
S05,C02,1,Directed,#6dc066
S05,C15,1,Directed,#6dc066
S05,C16,1,Directed,#6dc066
S05,C17,1,Directed,#6dc066
S05,C18,1,Directed,#6dc066
S06,C01,1,Directed,#6dc066
S06,C02,1,Directed,#6dc066
S06,C11,1,Directed,#6dc066
S06,C12,1,Directed,#6dc066
S06,C13,1,Directed,#6dc066
S06,C15,1,Directed,#6dc066
S06,C16,1,Directed,#6dc066
S06,C17,1,Directed,#6dc066
S06,C18,1,Directed,#6dc066
S07,C15,1,Directed,#6dc066
S08,C15,1,Directed,#6dc066
S09,C15,1,Directed,#6dc066
S10,C15,1,Directed,#6dc066
S11,C01,1,Directed,#6dc066
S11,C02,1,Directed,#6dc066
S11,C15,1,Directed,#6dc066
S11,C16,1,Directed,#6dc066
S11,C17,1,Directed,#6dc066
S12,C01,1,Directed,#6dc066
S12,C02,1,Directed,#6dc066
S12,C11,1,Directed,#6dc066
S12,C12,1,Directed,#6dc066
S12,C13,1,Directed,#6dc066
S12,C14,1,Directed,#6dc066
S12,C15,1,Directed,#6dc066
S12,C16,1,Directed,#6dc066
S12,C17,1,Directed,#6dc066
S12,C18,1,Directed,#6dc066
S13,C01,1,Directed,#6dc066
S13,C02,1,Directed,#6dc066
S13,C11,1,Directed,#6dc066
S13,C15,1,Directed,#6dc066
S13,C18,1,Directed,#6dc066
S14,C10,1,Directed,#6dc066
S14,C13,1,Directed,#6dc066
S14,C14,1,Directed,#6dc066
S14,C15,1,Directed,#6dc066
S14,C16,1,Directed,#6dc066
S14,C17,1,Directed,#6dc066
S15,C03,1,Directed,#6dc066
S15,C04,1,Directed,#6dc066
S15,C06,1,Directed,#6dc066
S15,C07,1,Directed,#6dc066
S15,C08,1,Directed,#6dc066
S15,C09,1,Directed,#6dc066
S15,C10,1,Directed,#6dc066
S15,C11,1,Directed,#6dc066
S15,C13,1,Directed,#6dc066
S15,C14,1,Directed,#6dc066
S15,C15,1,Directed,#6dc066
S15,C16,1,Directed,#6dc066
S15,C17,1,Directed,#6dc066
S16,C02,1,Directed,#6dc066
S16,C03,1,Directed,#6dc066
S16,C04,1,Directed,#6dc066
S16,C05,1,Directed,#6dc066
S16,C06,1,Directed,#6dc066
S16,C07,1,Directed,#6dc066
S16,C08,1,Directed,#6dc066
S16,C09,1,Directed,#6dc066
S16,C10,1,Directed,#6dc066
S16,C11,1,Directed,#6dc066
S16,C12,1,Directed,#6dc066
S16,C13,1,Directed,#6dc066
S16,C14,1,Directed,#6dc066
S16,C15,1,Directed,#6dc066
S16,C16,1,Directed,#6dc066
S16,C17,1,Directed,#6dc066
S16,C18,1,Directed,#6dc066
S17,C01,1,Directed,#6dc066
S17,C02,1,Directed,#6dc066
S17,C03,1,Directed,#6dc066
S17,C04,1,Directed,#6dc066
S17,C05,1,Directed,#6dc066
S17,C06,1,Directed,#6dc066
S17,C07,1,Directed,#6dc066
S17,C08,1,Directed,#6dc066
S17,C09,1,Directed,#6dc066
S17,C10,1,Directed,#6dc066
S17,C11,1,Directed,#6dc066
S17,C12,1,Directed,#6dc066
S17,C13,1,Directed,#6dc066
S17,C14,1,Directed,#6dc066
S17,C15,1,Directed,#6dc066
S17,C16,1,Directed,#6dc066
S17,C17,1,Directed,#6dc066
S17,C18,1,Directed,#6dc066
C01,S08,1,Directed,#ff4444
C02,S08,1,Directed,#ff4444
C03,S08,1,Directed,#ff4444
C04,S08,1,Directed,#ff4444
C05,S08,1,Directed,#ff4444
C18,S08,1,Directed,#ff4444
C01,S09,1,Directed,#ff4444
C02,S09,1,Directed,#ff4444
C18,S09,1,Directed,#ff4444
S01,C01,1,Undirected,#fef65b
S01,C02,1,Undirected,#fef65b
S01,C03,1,Undirected,#fef65b
S01,C04,1,Undirected,#fef65b
S01,C05,1,Undirected,#fef65b
S01,C06,1,Undirected,#fef65b
S01,C07,1,Undirected,#fef65b
S01,C15,1,Undirected,#fef65b
S01,C17,1,Undirected,#fef65b
S01,C18,1,Undirected,#fef65b
S02,C01,1,Undirected,#fef65b
S02,C02,1,Undirected,#fef65b
S02,C03,1,Undirected,#fef65b
S02,C04,1,Undirected,#fef65b
S02,C05,1,Undirected,#fef65b
S02,C06,1,Undirected,#fef65b
S02,C07,1,Undirected,#fef65b
S02,C15,1,Undirected,#fef65b
S02,C17,1,Undirected,#fef65b
S02,C18,1,Undirected,#fef65b
S03,C11,1,Undirected,#fef65b
S03,C12,1,Undirected,#fef65b
S03,C13,1,Undirected,#fef65b
S03,C15,1,Undirected,#fef65b
S03,C17,1,Undirected,#fef65b
S05,C11,1,Undirected,#fef65b
S05,C12,1,Undirected,#fef65b
S05,C13,1,Undirected,#fef65b
S05,C14,1,Undirected,#fef65b
S07,C01,1,Undirected,#fef65b
S07,C02,1,Undirected,#fef65b
S07,C03,1,Undirected,#fef65b
S07,C04,1,Undirected,#fef65b
S07,C05,1,Undirected,#fef65b
S07,C06,1,Undirected,#fef65b
S07,C07,1,Undirected,#fef65b
S07,C08,1,Undirected,#fef65b
S07,C12,1,Undirected,#fef65b
S07,C13,1,Undirected,#fef65b
S07,C17,1,Undirected,#fef65b
S07,C18,1,Undirected,#fef65b
S08,C06,1,Undirected,#fef65b
S08,C07,1,Undirected,#fef65b
S08,C08,1,Undirected,#fef65b
S08,C09,1,Undirected,#fef65b
S08,C10,1,Undirected,#fef65b
S08,C11,1,Undirected,#fef65b
S08,C12,1,Undirected,#fef65b
S08,C13,1,Undirected,#fef65b
S08,C14,1,Undirected,#fef65b
S08,C17,1,Undirected,#fef65b
S09,C03,1,Undirected,#fef65b
S09,C04,1,Undirected,#fef65b
S09,C05,1,Undirected,#fef65b
S09,C06,1,Undirected,#fef65b
S09,C07,1,Undirected,#fef65b
S09,C08,1,Undirected,#fef65b
S09,C09,1,Undirected,#fef65b
S09,C10,1,Undirected,#fef65b
S09,C11,1,Undirected,#fef65b
S09,C12,1,Undirected,#fef65b
S09,C13,1,Undirected,#fef65b
S09,C14,1,Undirected,#fef65b
S09,C16,1,Undirected,#fef65b
S09,C17,1,Undirected,#fef65b
S10,C01,1,Undirected,#fef65b
S10,C02,1,Undirected,#fef65b
S10,C03,1,Undirected,#fef65b
S10,C04,1,Undirected,#fef65b
S10,C05,1,Undirected,#fef65b
S10,C06,1,Undirected,#fef65b
S10,C07,1,Undirected,#fef65b
S10,C08,1,Undirected,#fef65b
S10,C09,1,Undirected,#fef65b
S10,C10,1,Undirected,#fef65b
S10,C11,1,Undirected,#fef65b
S10,C12,1,Undirected,#fef65b
S10,C13,1,Undirected,#fef65b
S10,C14,1,Undirected,#fef65b
S10,C16,1,Undirected,#fef65b
S10,C17,1,Undirected,#fef65b
S10,C18,1,Undirected,#fef65b
S11,C03,1,Undirected,#fef65b
S11,C04,1,Undirected,#fef65b
S11,C05,1,Undirected,#fef65b
S11,C06,1,Undirected,#fef65b
S11,C07,1,Undirected,#fef65b
S11,C08,1,Undirected,#fef65b
S11,C09,1,Undirected,#fef65b
S11,C10,1,Undirected,#fef65b
S11,C11,1,Undirected,#fef65b
S11,C12,1,Undirected,#fef65b
S11,C13,1,Undirected,#fef65b
S11,C14,1,Undirected,#fef65b
S11,C18,1,Undirected,#fef65b
S12,C03,1,Undirected,#fef65b
S12,C04,1,Undirected,#fef65b
S12,C05,1,Undirected,#fef65b
S12,C06,1,Undirected,#fef65b
S12,C07,1,Undirected,#fef65b
S12,C08,1,Undirected,#fef65b
S13,C03,1,Undirected,#fef65b
S13,C04,1,Undirected,#fef65b
S13,C05,1,Undirected,#fef65b
S13,C06,1,Undirected,#fef65b
S13,C07,1,Undirected,#fef65b
S13,C08,1,Undirected,#fef65b
S13,C09,1,Undirected,#fef65b
S13,C17,1,Undirected,#fef65b
S15,C05,1,Undirected,#fef65b
S02,C12,2,Directed,#6dc066
S03,C10,2,Directed,#6dc066
S04,C15,2,Directed,#6dc066
S06,C06,2,Directed,#6dc066
S06,C07,2,Directed,#6dc066
S07,C11,2,Directed,#6dc066
S08,C16,2,Directed,#6dc066
S14,C01,2,Directed,#6dc066
S14,C12,2,Directed,#6dc066
S14,C18,2,Directed,#6dc066
S15,C01,2,Directed,#6dc066
S15,C02,2,Directed,#6dc066
S15,C12,2,Directed,#6dc066
S15,C18,2,Directed,#6dc066
S16,C01,2,Directed,#6dc066
